Year,City,Type of structure,Type of unit,Rent Price
2019,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,623.0
2019,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,749.0
2019,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,874.0
2019,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,969.0
2019,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1114.0
2019,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,623.0
2019,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,750.0
2019,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,874.0
2019,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,961.0
2019,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,654.0
2019,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,781.0
2019,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,879.0
2019,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,978.0
2019,Hawkesbury,Row and apartment structures of three units and over,Bachelor units,445.0
2019,Hawkesbury,Row and apartment structures of three units and over,One bedroom units,694.0
2019,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,750.0
2019,Hawkesbury,Row and apartment structures of three units and over,Three bedroom units,1377.0
2019,Hawkesbury,Apartment structures of three units and over,Bachelor units,445.0
2019,Hawkesbury,Apartment structures of three units and over,One bedroom units,694.0
2019,Hawkesbury,Apartment structures of three units and over,Two bedroom units,750.0
2019,Hawkesbury,Apartment structures of three units and over,Three bedroom units,1377.0
2019,Hawkesbury,Apartment structures of six units and over,One bedroom units,745.0
2019,Hawkesbury,Apartment structures of six units and over,Two bedroom units,791.0
2019,Barrie,Row and apartment structures of three units and over,Bachelor units,871.0
2019,Barrie,Row and apartment structures of three units and over,One bedroom units,1161.0
2019,Barrie,Row and apartment structures of three units and over,Two bedroom units,1337.0
2019,Barrie,Row and apartment structures of three units and over,Three bedroom units,1615.0
2019,Barrie,Row structures of three units and over,Three bedroom units,1523.0
2019,Barrie,Apartment structures of three units and over,Bachelor units,871.0
2019,Barrie,Apartment structures of three units and over,One bedroom units,1161.0
2019,Barrie,Apartment structures of three units and over,Two bedroom units,1336.0
2019,Barrie,Apartment structures of three units and over,Three bedroom units,1728.0
2019,Barrie,Apartment structures of six units and over,Bachelor units,871.0
2019,Barrie,Apartment structures of six units and over,One bedroom units,1185.0
2019,Barrie,Apartment structures of six units and over,Two bedroom units,1353.0
2019,Barrie,Apartment structures of six units and over,Three bedroom units,1797.0
2019,Belleville,Row and apartment structures of three units and over,Bachelor units,824.0
2019,Belleville,Row and apartment structures of three units and over,One bedroom units,977.0
2019,Belleville,Row and apartment structures of three units and over,Two bedroom units,1098.0
2019,Belleville,Row and apartment structures of three units and over,Three bedroom units,1227.0
2019,Belleville,Row structures of three units and over,Two bedroom units,905.0
2019,Belleville,Row structures of three units and over,Three bedroom units,1034.0
2019,Belleville,Apartment structures of three units and over,Bachelor units,824.0
2019,Belleville,Apartment structures of three units and over,One bedroom units,974.0
2019,Belleville,Apartment structures of three units and over,Two bedroom units,1106.0
2019,Belleville,Apartment structures of three units and over,Three bedroom units,1316.0
2019,Belleville,Apartment structures of six units and over,Bachelor units,862.0
2019,Belleville,Apartment structures of six units and over,One bedroom units,1010.0
2019,Belleville,Apartment structures of six units and over,Two bedroom units,1123.0
2019,Belleville,Apartment structures of six units and over,Three bedroom units,1480.0
2019,Bracebridge,Row and apartment structures of three units and over,One bedroom units,887.0
2019,Bracebridge,Row and apartment structures of three units and over,Two bedroom units,1135.0
2019,Bracebridge,Apartment structures of three units and over,One bedroom units,887.0
2019,Bracebridge,Apartment structures of three units and over,Two bedroom units,1135.0
2019,Bracebridge,Apartment structures of six units and over,One bedroom units,909.0
2019,Bracebridge,Apartment structures of six units and over,Two bedroom units,1143.0
2019,Brantford,Row and apartment structures of three units and over,Bachelor units,740.0
2019,Brantford,Row and apartment structures of three units and over,One bedroom units,971.0
2019,Brantford,Row and apartment structures of three units and over,Two bedroom units,1044.0
2019,Brantford,Row and apartment structures of three units and over,Three bedroom units,1196.0
2019,Brantford,Row structures of three units and over,Two bedroom units,1127.0
2019,Brantford,Row structures of three units and over,Three bedroom units,1259.0
2019,Brantford,Apartment structures of three units and over,Bachelor units,740.0
2019,Brantford,Apartment structures of three units and over,One bedroom units,971.0
2019,Brantford,Apartment structures of three units and over,Two bedroom units,1037.0
2019,Brantford,Apartment structures of three units and over,Three bedroom units,1115.0
2019,Brantford,Apartment structures of six units and over,Bachelor units,740.0
2019,Brantford,Apartment structures of six units and over,One bedroom units,974.0
2019,Brantford,Apartment structures of six units and over,Two bedroom units,1088.0
2019,Brantford,Apartment structures of six units and over,Three bedroom units,1210.0
2019,Brighton,Row and apartment structures of three units and over,One bedroom units,856.0
2019,Brighton,Row and apartment structures of three units and over,Two bedroom units,915.0
2019,Brighton,Apartment structures of three units and over,One bedroom units,856.0
2019,Brighton,Apartment structures of three units and over,Two bedroom units,915.0
2019,Brighton,Apartment structures of six units and over,One bedroom units,856.0
2019,Brighton,Apartment structures of six units and over,Two bedroom units,916.0
2019,Brock,Row and apartment structures of three units and over,One bedroom units,871.0
2019,Brock,Row and apartment structures of three units and over,Two bedroom units,1009.0
2019,Brock,Apartment structures of three units and over,One bedroom units,871.0
2019,Brock,Apartment structures of three units and over,Two bedroom units,1009.0
2019,Brock,Apartment structures of six units and over,One bedroom units,927.0
2019,Brock,Apartment structures of six units and over,Two bedroom units,999.0
2019,Brockville,Row and apartment structures of three units and over,Bachelor units,633.0
2019,Brockville,Row and apartment structures of three units and over,One bedroom units,785.0
2019,Brockville,Row and apartment structures of three units and over,Two bedroom units,917.0
2019,Brockville,Row and apartment structures of three units and over,Three bedroom units,922.0
2019,Brockville,Row structures of three units and over,Two bedroom units,1038.0
2019,Brockville,Apartment structures of three units and over,Bachelor units,633.0
2019,Brockville,Apartment structures of three units and over,One bedroom units,786.0
2019,Brockville,Apartment structures of three units and over,Two bedroom units,912.0
2019,Brockville,Apartment structures of three units and over,Three bedroom units,926.0
2019,Brockville,Apartment structures of six units and over,Bachelor units,630.0
2019,Brockville,Apartment structures of six units and over,One bedroom units,818.0
2019,Brockville,Apartment structures of six units and over,Two bedroom units,923.0
2019,Brockville,Apartment structures of six units and over,Three bedroom units,935.0
2019,Centre Wellington,Row and apartment structures of three units and over,One bedroom units,921.0
2019,Centre Wellington,Row and apartment structures of three units and over,Two bedroom units,1182.0
2019,Centre Wellington,Apartment structures of three units and over,One bedroom units,921.0
2019,Centre Wellington,Apartment structures of three units and over,Two bedroom units,1182.0
2019,Centre Wellington,Apartment structures of six units and over,One bedroom units,960.0
2019,Centre Wellington,Apartment structures of six units and over,Two bedroom units,1201.0
2019,Chatham-Kent,Row and apartment structures of three units and over,Bachelor units,572.0
2019,Chatham-Kent,Row and apartment structures of three units and over,One bedroom units,734.0
2019,Chatham-Kent,Row and apartment structures of three units and over,Two bedroom units,871.0
2019,Chatham-Kent,Row and apartment structures of three units and over,Three bedroom units,861.0
2019,Chatham-Kent,Row structures of three units and over,One bedroom units,632.0
2019,Chatham-Kent,Row structures of three units and over,Two bedroom units,821.0
2019,Chatham-Kent,Row structures of three units and over,Three bedroom units,855.0
2019,Chatham-Kent,Apartment structures of three units and over,Bachelor units,575.0
2019,Chatham-Kent,Apartment structures of three units and over,One bedroom units,736.0
2019,Chatham-Kent,Apartment structures of three units and over,Two bedroom units,875.0
2019,Chatham-Kent,Apartment structures of three units and over,Three bedroom units,862.0
2019,Chatham-Kent,Apartment structures of six units and over,Bachelor units,603.0
2019,Chatham-Kent,Apartment structures of six units and over,One bedroom units,762.0
2019,Chatham-Kent,Apartment structures of six units and over,Two bedroom units,896.0
2019,Chatham-Kent,Apartment structures of six units and over,Three bedroom units,1139.0
2019,Cobourg,Row and apartment structures of three units and over,One bedroom units,871.0
2019,Cobourg,Row and apartment structures of three units and over,Two bedroom units,1181.0
2019,Cobourg,Row and apartment structures of three units and over,Three bedroom units,1279.0
2019,Cobourg,Apartment structures of three units and over,One bedroom units,871.0
2019,Cobourg,Apartment structures of three units and over,Two bedroom units,1181.0
2019,Cobourg,Apartment structures of three units and over,Three bedroom units,1351.0
2019,Cobourg,Apartment structures of six units and over,One bedroom units,932.0
2019,Cobourg,Apartment structures of six units and over,Two bedroom units,1181.0
2019,Cobourg,Apartment structures of six units and over,Three bedroom units,1351.0
2019,Collingwood,Row and apartment structures of three units and over,Bachelor units,749.0
2019,Collingwood,Row and apartment structures of three units and over,One bedroom units,995.0
2019,Collingwood,Row and apartment structures of three units and over,Two bedroom units,1156.0
2019,Collingwood,Row and apartment structures of three units and over,Three bedroom units,1384.0
2019,Collingwood,Apartment structures of three units and over,Bachelor units,749.0
2019,Collingwood,Apartment structures of three units and over,One bedroom units,995.0
2019,Collingwood,Apartment structures of three units and over,Two bedroom units,1156.0
2019,Collingwood,Apartment structures of six units and over,Bachelor units,780.0
2019,Collingwood,Apartment structures of six units and over,One bedroom units,1021.0
2019,Collingwood,Apartment structures of six units and over,Two bedroom units,1136.0
2019,Cornwall,Row and apartment structures of three units and over,Bachelor units,645.0
2019,Cornwall,Row and apartment structures of three units and over,One bedroom units,711.0
2019,Cornwall,Row and apartment structures of three units and over,Two bedroom units,872.0
2019,Cornwall,Row and apartment structures of three units and over,Three bedroom units,1014.0
2019,Cornwall,Row structures of three units and over,Two bedroom units,1021.0
2019,Cornwall,Row structures of three units and over,Three bedroom units,1234.0
2019,Cornwall,Apartment structures of three units and over,Bachelor units,645.0
2019,Cornwall,Apartment structures of three units and over,One bedroom units,712.0
2019,Cornwall,Apartment structures of three units and over,Two bedroom units,870.0
2019,Cornwall,Apartment structures of three units and over,Three bedroom units,963.0
2019,Cornwall,Apartment structures of six units and over,Bachelor units,681.0
2019,Cornwall,Apartment structures of six units and over,One bedroom units,782.0
2019,Cornwall,Apartment structures of six units and over,Two bedroom units,917.0
2019,Cornwall,Apartment structures of six units and over,Three bedroom units,1027.0
2019,Elliot Lake,Row and apartment structures of three units and over,Bachelor units,624.0
2019,Elliot Lake,Row and apartment structures of three units and over,One bedroom units,586.0
2019,Elliot Lake,Row and apartment structures of three units and over,Two bedroom units,651.0
2019,Elliot Lake,Row and apartment structures of three units and over,Three bedroom units,741.0
2019,Elliot Lake,Apartment structures of three units and over,Bachelor units,624.0
2019,Elliot Lake,Apartment structures of three units and over,One bedroom units,586.0
2019,Elliot Lake,Apartment structures of three units and over,Two bedroom units,651.0
2019,Elliot Lake,Apartment structures of three units and over,Three bedroom units,778.0
2019,Elliot Lake,Apartment structures of six units and over,Bachelor units,624.0
